,account,number,cost,date,rowname,ind_row,report
1,Remedy Place,0-1,,1/31/2023,ASSETS,1,Balance Sheet
2,Remedy Place,0-2,,2/28/2023,ASSETS,1,Balance Sheet
3,Remedy Place,0-3,,3/31/2023,ASSETS,1,Balance Sheet
4,Remedy Place,0-4,,4/30/2023,ASSETS,1,Balance Sheet
5,Remedy Place,0-5,,5/31/2023,ASSETS,1,Balance Sheet
6,Remedy Place,0-6,,6/30/2023,ASSETS,1,Balance Sheet
7,Remedy Place,0-7,,7/31/2023,ASSETS,1,Balance Sheet
8,Remedy Place,0-8,,8/31/2023,ASSETS,1,Balance Sheet
9,Remedy Place,0-9,,9/30/2023,ASSETS,1,Balance Sheet
10,Remedy Place,0-10,,10/31/2023,ASSETS,1,Balance Sheet
11,Remedy Place,0-11,,11/30/2023,ASSETS,1,Balance Sheet
12,Remedy Place,0-12,,12/31/2023,ASSETS,1,Balance Sheet
13,Remedy Place,0-13,,1/31/2024,ASSETS,1,Balance Sheet
14,Remedy Place,0-14,,2/29/2024,ASSETS,1,Balance Sheet
15,Remedy Place,0-15,,3/31/2024,ASSETS,1,Balance Sheet
17,Remedy Place,0-1,,1/31/2023,Current Assets,2,Balance Sheet
18,Remedy Place,0-2,,2/28/2023,Current Assets,2,Balance Sheet
19,Remedy Place,0-3,,3/31/2023,Current Assets,2,Balance Sheet
20,Remedy Place,0-4,,4/30/2023,Current Assets,2,Balance Sheet
21,Remedy Place,0-5,,5/31/2023,Current Assets,2,Balance Sheet
22,Remedy Place,0-6,,6/30/2023,Current Assets,2,Balance Sheet
23,Remedy Place,0-7,,7/31/2023,Current Assets,2,Balance Sheet
24,Remedy Place,0-8,,8/31/2023,Current Assets,2,Balance Sheet
25,Remedy Place,0-9,,9/30/2023,Current Assets,2,Balance Sheet
26,Remedy Place,0-10,,10/31/2023,Current Assets,2,Balance Sheet
27,Remedy Place,0-11,,11/30/2023,Current Assets,2,Balance Sheet
28,Remedy Place,0-12,,12/31/2023,Current Assets,2,Balance Sheet
29,Remedy Place,0-13,,1/31/2024,Current Assets,2,Balance Sheet
30,Remedy Place,0-14,,2/29/2024,Current Assets,2,Balance Sheet
31,Remedy Place,0-15,,3/31/2024,Current Assets,2,Balance Sheet
33,Remedy Place,0-1,,1/31/2023,Bank Accounts,3,Balance Sheet
34,Remedy Place,0-2,,2/28/2023,Bank Accounts,3,Balance Sheet
35,Remedy Place,0-3,,3/31/2023,Bank Accounts,3,Balance Sheet
36,Remedy Place,0-4,,4/30/2023,Bank Accounts,3,Balance Sheet
37,Remedy Place,0-5,,5/31/2023,Bank Accounts,3,Balance Sheet
38,Remedy Place,0-6,,6/30/2023,Bank Accounts,3,Balance Sheet
39,Remedy Place,0-7,,7/31/2023,Bank Accounts,3,Balance Sheet
40,Remedy Place,0-8,,8/31/2023,Bank Accounts,3,Balance Sheet
41,Remedy Place,0-9,,9/30/2023,Bank Accounts,3,Balance Sheet
42,Remedy Place,0-10,,10/31/2023,Bank Accounts,3,Balance Sheet
43,Remedy Place,0-11,,11/30/2023,Bank Accounts,3,Balance Sheet
44,Remedy Place,0-12,,12/31/2023,Bank Accounts,3,Balance Sheet
45,Remedy Place,0-13,,1/31/2024,Bank Accounts,3,Balance Sheet
46,Remedy Place,0-14,,2/29/2024,Bank Accounts,3,Balance Sheet
47,Remedy Place,0-15,,3/31/2024,Bank Accounts,3,Balance Sheet
49,Remedy Place,0-1,0,1/31/2023,Chase CHK *6327,4,Balance Sheet
50,Remedy Place,0-2,0,2/28/2023,Chase CHK *6327,4,Balance Sheet
51,Remedy Place,0-3,0,3/31/2023,Chase CHK *6327,4,Balance Sheet
52,Remedy Place,0-4,0,4/30/2023,Chase CHK *6327,4,Balance Sheet
53,Remedy Place,0-5,0,5/31/2023,Chase CHK *6327,4,Balance Sheet
54,Remedy Place,0-6,0,6/30/2023,Chase CHK *6327,4,Balance Sheet
55,Remedy Place,0-7,0,7/31/2023,Chase CHK *6327,4,Balance Sheet
56,Remedy Place,0-8,0,8/31/2023,Chase CHK *6327,4,Balance Sheet
57,Remedy Place,0-9,0,9/30/2023,Chase CHK *6327,4,Balance Sheet
58,Remedy Place,0-10,0,10/31/2023,Chase CHK *6327,4,Balance Sheet
59,Remedy Place,0-11,0,11/30/2023,Chase CHK *6327,4,Balance Sheet
60,Remedy Place,0-12,0,12/31/2023,Chase CHK *6327,4,Balance Sheet
61,Remedy Place,0-13,0,1/31/2024,Chase CHK *6327,4,Balance Sheet
62,Remedy Place,0-14,0,2/29/2024,Chase CHK *6327,4,Balance Sheet
63,Remedy Place,0-15,0,3/31/2024,Chase CHK *6327,4,Balance Sheet
65,Remedy Place,0-1,196388.62,1/31/2023,Flatiron Checking 6388,5,Balance Sheet
66,Remedy Place,0-2,212202.07,2/28/2023,Flatiron Checking 6388,5,Balance Sheet
67,Remedy Place,0-3,142096.26,3/31/2023,Flatiron Checking 6388,5,Balance Sheet
68,Remedy Place,0-4,196751.41,4/30/2023,Flatiron Checking 6388,5,Balance Sheet
69,Remedy Place,0-5,167979.31,5/31/2023,Flatiron Checking 6388,5,Balance Sheet
70,Remedy Place,0-6,109303.17,6/30/2023,Flatiron Checking 6388,5,Balance Sheet
71,Remedy Place,0-7,133457.59,7/31/2023,Flatiron Checking 6388,5,Balance Sheet
72,Remedy Place,0-8,108859.97,8/31/2023,Flatiron Checking 6388,5,Balance Sheet
73,Remedy Place,0-9,101644.8,9/30/2023,Flatiron Checking 6388,5,Balance Sheet
74,Remedy Place,0-10,148855.46,10/31/2023,Flatiron Checking 6388,5,Balance Sheet
75,Remedy Place,0-11,227363.02,11/30/2023,Flatiron Checking 6388,5,Balance Sheet
76,Remedy Place,0-12,241039.62,12/31/2023,Flatiron Checking 6388,5,Balance Sheet
77,Remedy Place,0-13,234174.9,1/31/2024,Flatiron Checking 6388,5,Balance Sheet
78,Remedy Place,0-14,169147.28,2/29/2024,Flatiron Checking 6388,5,Balance Sheet
79,Remedy Place,0-15,121468.62,3/31/2024,Flatiron Checking 6388,5,Balance Sheet
81,Remedy Place,0-1,11579.96,1/31/2023,Greene Street 1218,6,Balance Sheet
82,Remedy Place,0-2,207892.41,2/28/2023,Greene Street 1218,6,Balance Sheet
83,Remedy Place,0-3,205835.07,3/31/2023,Greene Street 1218,6,Balance Sheet
84,Remedy Place,0-4,175583.55,4/30/2023,Greene Street 1218,6,Balance Sheet
85,Remedy Place,0-5,15070465.87,5/31/2023,Greene Street 1218,6,Balance Sheet
86,Remedy Place,0-6,14488108.83,6/30/2023,Greene Street 1218,6,Balance Sheet
87,Remedy Place,0-7,3337989.47,7/31/2023,Greene Street 1218,6,Balance Sheet
88,Remedy Place,0-8,3112870.11,8/31/2023,Greene Street 1218,6,Balance Sheet
89,Remedy Place,0-9,2590794.98,9/30/2023,Greene Street 1218,6,Balance Sheet
90,Remedy Place,0-10,1699833.03,10/31/2023,Greene Street 1218,6,Balance Sheet
91,Remedy Place,0-11,928584.45,11/30/2023,Greene Street 1218,6,Balance Sheet
92,Remedy Place,0-12,353005.09,12/31/2023,Greene Street 1218,6,Balance Sheet
93,Remedy Place,0-13,-86753.72,1/31/2024,Greene Street 1218,6,Balance Sheet
94,Remedy Place,0-14,-56873.08,2/29/2024,Greene Street 1218,6,Balance Sheet
95,Remedy Place,0-15,-56992.44,3/31/2024,Greene Street 1218,6,Balance Sheet
97,Remedy Place,0-1,0,1/31/2023,PLAT BUS CHECKING (1231),7,Balance Sheet
98,Remedy Place,0-2,0,2/28/2023,PLAT BUS CHECKING (1231),7,Balance Sheet
99,Remedy Place,0-3,6956,3/31/2023,PLAT BUS CHECKING (1231),7,Balance Sheet
100,Remedy Place,0-4,6956,4/30/2023,PLAT BUS CHECKING (1231),7,Balance Sheet
101,Remedy Place,0-5,6956,5/31/2023,PLAT BUS CHECKING (1231),7,Balance Sheet
102,Remedy Place,0-6,6956,6/30/2023,PLAT BUS CHECKING (1231),7,Balance Sheet
103,Remedy Place,0-7,6956,7/31/2023,PLAT BUS CHECKING (1231),7,Balance Sheet
104,Remedy Place,0-8,6956,8/31/2023,PLAT BUS CHECKING (1231),7,Balance Sheet
105,Remedy Place,0-9,6956,9/30/2023,PLAT BUS CHECKING (1231),7,Balance Sheet
106,Remedy Place,0-10,6956,10/31/2023,PLAT BUS CHECKING (1231),7,Balance Sheet
107,Remedy Place,0-11,6956,11/30/2023,PLAT BUS CHECKING (1231),7,Balance Sheet
108,Remedy Place,0-12,6956,12/31/2023,PLAT BUS CHECKING (1231),7,Balance Sheet
109,Remedy Place,0-13,6956,1/31/2024,PLAT BUS CHECKING (1231),7,Balance Sheet
110,Remedy Place,0-14,6956,2/29/2024,PLAT BUS CHECKING (1231),7,Balance Sheet
111,Remedy Place,0-15,6956,3/31/2024,PLAT BUS CHECKING (1231),7,Balance Sheet
113,Remedy Place,0-1,3990036.58,1/31/2023,Remedy Corporate 0138,8,Balance Sheet
114,Remedy Place,0-2,3555704.14,2/28/2023,Remedy Corporate 0138,8,Balance Sheet
115,Remedy Place,0-3,2931005.64,3/31/2023,Remedy Corporate 0138,8,Balance Sheet
116,Remedy Place,0-4,2006096.91,4/30/2023,Remedy Corporate 0138,8,Balance Sheet
117,Remedy Place,0-5,1987065.26,5/31/2023,Remedy Corporate 0138,8,Balance Sheet
118,Remedy Place,0-6,1568231.16,6/30/2023,Remedy Corporate 0138,8,Balance Sheet
119,Remedy Place,0-7,1094113.7,7/31/2023,Remedy Corporate 0138,8,Balance Sheet
120,Remedy Place,0-8,571144.73,8/31/2023,Remedy Corporate 0138,8,Balance Sheet
121,Remedy Place,0-9,113908.21,9/30/2023,Remedy Corporate 0138,8,Balance Sheet
122,Remedy Place,0-10,81590.54,10/31/2023,Remedy Corporate 0138,8,Balance Sheet
123,Remedy Place,0-11,205108.4,11/30/2023,Remedy Corporate 0138,8,Balance Sheet
124,Remedy Place,0-12,39521.64,12/31/2023,Remedy Corporate 0138,8,Balance Sheet
125,Remedy Place,0-13,14107.39,1/31/2024,Remedy Corporate 0138,8,Balance Sheet
126,Remedy Place,0-14,8397.66,2/29/2024,Remedy Corporate 0138,8,Balance Sheet
127,Remedy Place,0-15,67450.96,3/31/2024,Remedy Corporate 0138,8,Balance Sheet
129,Remedy Place,0-1,275349.65,1/31/2023,WEHO Total Business checking 2513,9,Balance Sheet
130,Remedy Place,0-2,283832.21,2/28/2023,WEHO Total Business checking 2513,9,Balance Sheet
131,Remedy Place,0-3,242688.9,3/31/2023,WEHO Total Business checking 2513,9,Balance Sheet
132,Remedy Place,0-4,197297.48,4/30/2023,WEHO Total Business checking 2513,9,Balance Sheet
133,Remedy Place,0-5,249645.45,5/31/2023,WEHO Total Business checking 2513,9,Balance Sheet
134,Remedy Place,0-6,204073.2,6/30/2023,WEHO Total Business checking 2513,9,Balance Sheet
135,Remedy Place,0-7,211994.86,7/31/2023,WEHO Total Business checking 2513,9,Balance Sheet
136,Remedy Place,0-8,198460.19,8/31/2023,WEHO Total Business checking 2513,9,Balance Sheet
137,Remedy Place,0-9,128939.49,9/30/2023,WEHO Total Business checking 2513,9,Balance Sheet
138,Remedy Place,0-10,151925.32,10/31/2023,WEHO Total Business checking 2513,9,Balance Sheet
139,Remedy Place,0-11,109391.63,11/30/2023,WEHO Total Business checking 2513,9,Balance Sheet
140,Remedy Place,0-12,148112.4,12/31/2023,WEHO Total Business checking 2513,9,Balance Sheet
141,Remedy Place,0-13,100924.83,1/31/2024,WEHO Total Business checking 2513,9,Balance Sheet
142,Remedy Place,0-14,83231.34,2/29/2024,WEHO Total Business checking 2513,9,Balance Sheet
143,Remedy Place,0-15,71053.52,3/31/2024,WEHO Total Business checking 2513,9,Balance Sheet
145,Remedy Place,0-1,4473354.81,1/31/2023,Total Bank Accounts,10,Balance Sheet
146,Remedy Place,0-2,4259630.83,2/28/2023,Total Bank Accounts,10,Balance Sheet
147,Remedy Place,0-3,3528581.87,3/31/2023,Total Bank Accounts,10,Balance Sheet
148,Remedy Place,0-4,2582685.35,4/30/2023,Total Bank Accounts,10,Balance Sheet
149,Remedy Place,0-5,17482111.89,5/31/2023,Total Bank Accounts,10,Balance Sheet
150,Remedy Place,0-6,16376672.36,6/30/2023,Total Bank Accounts,10,Balance Sheet
151,Remedy Place,0-7,4784511.62,7/31/2023,Total Bank Accounts,10,Balance Sheet
152,Remedy Place,0-8,3998291,8/31/2023,Total Bank Accounts,10,Balance Sheet
153,Remedy Place,0-9,2942243.48,9/30/2023,Total Bank Accounts,10,Balance Sheet
154,Remedy Place,0-10,2089160.35,10/31/2023,Total Bank Accounts,10,Balance Sheet
155,Remedy Place,0-11,1477403.5,11/30/2023,Total Bank Accounts,10,Balance Sheet
156,Remedy Place,0-12,788634.75,12/31/2023,Total Bank Accounts,10,Balance Sheet
157,Remedy Place,0-13,269409.4,1/31/2024,Total Bank Accounts,10,Balance Sheet
158,Remedy Place,0-14,210859.2,2/29/2024,Total Bank Accounts,10,Balance Sheet
159,Remedy Place,0-15,209936.66,3/31/2024,Total Bank Accounts,10,Balance Sheet
161,Remedy Place,0-1,,1/31/2023,Accounts Receivable,11,Balance Sheet
162,Remedy Place,0-2,,2/28/2023,Accounts Receivable,11,Balance Sheet
163,Remedy Place,0-3,,3/31/2023,Accounts Receivable,11,Balance Sheet
164,Remedy Place,0-4,,4/30/2023,Accounts Receivable,11,Balance Sheet
165,Remedy Place,0-5,,5/31/2023,Accounts Receivable,11,Balance Sheet
166,Remedy Place,0-6,,6/30/2023,Accounts Receivable,11,Balance Sheet
167,Remedy Place,0-7,,7/31/2023,Accounts Receivable,11,Balance Sheet
168,Remedy Place,0-8,,8/31/2023,Accounts Receivable,11,Balance Sheet
169,Remedy Place,0-9,,9/30/2023,Accounts Receivable,11,Balance Sheet
170,Remedy Place,0-10,,10/31/2023,Accounts Receivable,11,Balance Sheet
171,Remedy Place,0-11,,11/30/2023,Accounts Receivable,11,Balance Sheet
172,Remedy Place,0-12,,12/31/2023,Accounts Receivable,11,Balance Sheet
173,Remedy Place,0-13,,1/31/2024,Accounts Receivable,11,Balance Sheet
174,Remedy Place,0-14,,2/29/2024,Accounts Receivable,11,Balance Sheet
175,Remedy Place,0-15,,3/31/2024,Accounts Receivable,11,Balance Sheet
177,Remedy Place,0-1,0,1/31/2023,Accounts Receivable (A/R),12,Balance Sheet
178,Remedy Place,0-2,0,2/28/2023,Accounts Receivable (A/R),12,Balance Sheet
179,Remedy Place,0-3,12500,3/31/2023,Accounts Receivable (A/R),12,Balance Sheet
180,Remedy Place,0-4,-12500,4/30/2023,Accounts Receivable (A/R),12,Balance Sheet
181,Remedy Place,0-5,1500,5/31/2023,Accounts Receivable (A/R),12,Balance Sheet
182,Remedy Place,0-6,21500,6/30/2023,Accounts Receivable (A/R),12,Balance Sheet
183,Remedy Place,0-7,1500,7/31/2023,Accounts Receivable (A/R),12,Balance Sheet
184,Remedy Place,0-8,23835.71,8/31/2023,Accounts Receivable (A/R),12,Balance Sheet
185,Remedy Place,0-9,48869.94,9/30/2023,Accounts Receivable (A/R),12,Balance Sheet
186,Remedy Place,0-10,41369.94,10/31/2023,Accounts Receivable (A/R),12,Balance Sheet
187,Remedy Place,0-11,37369.94,11/30/2023,Accounts Receivable (A/R),12,Balance Sheet
188,Remedy Place,0-12,102769.94,12/31/2023,Accounts Receivable (A/R),12,Balance Sheet
189,Remedy Place,0-13,118800.31,1/31/2024,Accounts Receivable (A/R),12,Balance Sheet
190,Remedy Place,0-14,99461.76,2/29/2024,Accounts Receivable (A/R),12,Balance Sheet
191,Remedy Place,0-15,184758.5,3/31/2024,Accounts Receivable (A/R),12,Balance Sheet
193,Remedy Place,0-1,9779.92,1/31/2023,Due From RPP,13,Balance Sheet
194,Remedy Place,0-2,22899.35,2/28/2023,Due From RPP,13,Balance Sheet
195,Remedy Place,0-3,44040.28,3/31/2023,Due From RPP,13,Balance Sheet
196,Remedy Place,0-4,71596.39,4/30/2023,Due From RPP,13,Balance Sheet
197,Remedy Place,0-5,78121.85,5/31/2023,Due From RPP,13,Balance Sheet
198,Remedy Place,0-6,91367.96,6/30/2023,Due From RPP,13,Balance Sheet
199,Remedy Place,0-7,104484.42,7/31/2023,Due From RPP,13,Balance Sheet
200,Remedy Place,0-8,121831.67,8/31/2023,Due From RPP,13,Balance Sheet
201,Remedy Place,0-9,144029.11,9/30/2023,Due From RPP,13,Balance Sheet
202,Remedy Place,0-10,159073.44,10/31/2023,Due From RPP,13,Balance Sheet
203,Remedy Place,0-11,175102.33,11/30/2023,Due From RPP,13,Balance Sheet
204,Remedy Place,0-12,65102.33,12/31/2023,Due From RPP,13,Balance Sheet
205,Remedy Place,0-13,65102.33,1/31/2024,Due From RPP,13,Balance Sheet
206,Remedy Place,0-14,65102.33,2/29/2024,Due From RPP,13,Balance Sheet
207,Remedy Place,0-15,65102.33,3/31/2024,Due From RPP,13,Balance Sheet
209,Remedy Place,0-1,9779.92,1/31/2023,Total Accounts Receivable,14,Balance Sheet
210,Remedy Place,0-2,22899.35,2/28/2023,Total Accounts Receivable,14,Balance Sheet
211,Remedy Place,0-3,56540.28,3/31/2023,Total Accounts Receivable,14,Balance Sheet
212,Remedy Place,0-4,59096.39,4/30/2023,Total Accounts Receivable,14,Balance Sheet
213,Remedy Place,0-5,79621.85,5/31/2023,Total Accounts Receivable,14,Balance Sheet
214,Remedy Place,0-6,112867.96,6/30/2023,Total Accounts Receivable,14,Balance Sheet
215,Remedy Place,0-7,105984.42,7/31/2023,Total Accounts Receivable,14,Balance Sheet
216,Remedy Place,0-8,145667.38,8/31/2023,Total Accounts Receivable,14,Balance Sheet
217,Remedy Place,0-9,192899.05,9/30/2023,Total Accounts Receivable,14,Balance Sheet
218,Remedy Place,0-10,200443.38,10/31/2023,Total Accounts Receivable,14,Balance Sheet
219,Remedy Place,0-11,212472.27,11/30/2023,Total Accounts Receivable,14,Balance Sheet
220,Remedy Place,0-12,167872.27,12/31/2023,Total Accounts Receivable,14,Balance Sheet
221,Remedy Place,0-13,183902.64,1/31/2024,Total Accounts Receivable,14,Balance Sheet
222,Remedy Place,0-14,164564.09,2/29/2024,Total Accounts Receivable,14,Balance Sheet
223,Remedy Place,0-15,249860.83,3/31/2024,Total Accounts Receivable,14,Balance Sheet
225,Remedy Place,0-1,,1/31/2023,Other Current Assets,15,Balance Sheet
226,Remedy Place,0-2,,2/28/2023,Other Current Assets,15,Balance Sheet
227,Remedy Place,0-3,,3/31/2023,Other Current Assets,15,Balance Sheet
228,Remedy Place,0-4,,4/30/2023,Other Current Assets,15,Balance Sheet
229,Remedy Place,0-5,,5/31/2023,Other Current Assets,15,Balance Sheet
230,Remedy Place,0-6,,6/30/2023,Other Current Assets,15,Balance Sheet
231,Remedy Place,0-7,,7/31/2023,Other Current Assets,15,Balance Sheet
232,Remedy Place,0-8,,8/31/2023,Other Current Assets,15,Balance Sheet
233,Remedy Place,0-9,,9/30/2023,Other Current Assets,15,Balance Sheet
234,Remedy Place,0-10,,10/31/2023,Other Current Assets,15,Balance Sheet
235,Remedy Place,0-11,,11/30/2023,Other Current Assets,15,Balance Sheet
236,Remedy Place,0-12,,12/31/2023,Other Current Assets,15,Balance Sheet
237,Remedy Place,0-13,,1/31/2024,Other Current Assets,15,Balance Sheet
238,Remedy Place,0-14,,2/29/2024,Other Current Assets,15,Balance Sheet
239,Remedy Place,0-15,,3/31/2024,Other Current Assets,15,Balance Sheet
241,Remedy Place,0-1,0,1/31/2023,Due to From Remedy Place,16,Balance Sheet
242,Remedy Place,0-2,0,2/28/2023,Due to From Remedy Place,16,Balance Sheet
243,Remedy Place,0-3,0,3/31/2023,Due to From Remedy Place,16,Balance Sheet
244,Remedy Place,0-4,0,4/30/2023,Due to From Remedy Place,16,Balance Sheet
245,Remedy Place,0-5,0,5/31/2023,Due to From Remedy Place,16,Balance Sheet
246,Remedy Place,0-6,0,6/30/2023,Due to From Remedy Place,16,Balance Sheet
247,Remedy Place,0-7,0,7/31/2023,Due to From Remedy Place,16,Balance Sheet
248,Remedy Place,0-8,0,8/31/2023,Due to From Remedy Place,16,Balance Sheet
249,Remedy Place,0-9,0,9/30/2023,Due to From Remedy Place,16,Balance Sheet
250,Remedy Place,0-10,0,10/31/2023,Due to From Remedy Place,16,Balance Sheet
251,Remedy Place,0-11,0,11/30/2023,Due to From Remedy Place,16,Balance Sheet
252,Remedy Place,0-12,0,12/31/2023,Due to From Remedy Place,16,Balance Sheet
253,Remedy Place,0-13,0,1/31/2024,Due to From Remedy Place,16,Balance Sheet
254,Remedy Place,0-14,0,2/29/2024,Due to From Remedy Place,16,Balance Sheet
255,Remedy Place,0-15,0,3/31/2024,Due to From Remedy Place,16,Balance Sheet
257,Remedy Place,0-1,0,1/31/2023,Goldman - HYS,17,Balance Sheet
258,Remedy Place,0-2,0,2/28/2023,Goldman - HYS,17,Balance Sheet
259,Remedy Place,0-3,0,3/31/2023,Goldman - HYS,17,Balance Sheet
260,Remedy Place,0-4,0,4/30/2023,Goldman - HYS,17,Balance Sheet
261,Remedy Place,0-5,0,5/31/2023,Goldman - HYS,17,Balance Sheet
262,Remedy Place,0-6,0,6/30/2023,Goldman - HYS,17,Balance Sheet
263,Remedy Place,0-7,11007009.59,7/31/2023,Goldman - HYS,17,Balance Sheet
264,Remedy Place,0-8,11047207.73,8/31/2023,Goldman - HYS,17,Balance Sheet
265,Remedy Place,0-9,11086226.63,9/30/2023,Goldman - HYS,17,Balance Sheet
266,Remedy Place,0-10,6905423.58,10/31/2023,Goldman - HYS,17,Balance Sheet
267,Remedy Place,0-11,6929797.49,11/30/2023,Goldman - HYS,17,Balance Sheet
268,Remedy Place,0-12,6955105.23,12/31/2023,Goldman - HYS,17,Balance Sheet
269,Remedy Place,0-13,6480151.87,1/31/2024,Goldman - HYS,17,Balance Sheet
270,Remedy Place,0-14,5850918.01,2/29/2024,Goldman - HYS,17,Balance Sheet
271,Remedy Place,0-15,5145473.95,3/31/2024,Goldman - HYS,17,Balance Sheet
273,Remedy Place,0-1,0,1/31/2023,Intercompany Receivable,18,Balance Sheet
274,Remedy Place,0-2,0,2/28/2023,Intercompany Receivable,18,Balance Sheet
275,Remedy Place,0-3,0,3/31/2023,Intercompany Receivable,18,Balance Sheet
276,Remedy Place,0-4,0,4/30/2023,Intercompany Receivable,18,Balance Sheet
277,Remedy Place,0-5,0,5/31/2023,Intercompany Receivable,18,Balance Sheet
278,Remedy Place,0-6,0,6/30/2023,Intercompany Receivable,18,Balance Sheet
279,Remedy Place,0-7,0,7/31/2023,Intercompany Receivable,18,Balance Sheet
280,Remedy Place,0-8,0,8/31/2023,Intercompany Receivable,18,Balance Sheet
281,Remedy Place,0-9,0,9/30/2023,Intercompany Receivable,18,Balance Sheet
282,Remedy Place,0-10,0,10/31/2023,Intercompany Receivable,18,Balance Sheet
283,Remedy Place,0-11,0,11/30/2023,Intercompany Receivable,18,Balance Sheet
284,Remedy Place,0-12,16796.04,12/31/2023,Intercompany Receivable,18,Balance Sheet
285,Remedy Place,0-13,71744.88,1/31/2024,Intercompany Receivable,18,Balance Sheet
286,Remedy Place,0-14,108346.69,2/29/2024,Intercompany Receivable,18,Balance Sheet
287,Remedy Place,0-15,130346.69,3/31/2024,Intercompany Receivable,18,Balance Sheet
289,Remedy Place,0-1,149091.05,1/31/2023,Inventory,19,Balance Sheet
290,Remedy Place,0-2,151800.68,2/28/2023,Inventory,19,Balance Sheet
291,Remedy Place,0-3,153590.63,3/31/2023,Inventory,19,Balance Sheet
292,Remedy Place,0-4,155401.01,4/30/2023,Inventory,19,Balance Sheet
293,Remedy Place,0-5,156791.16,5/31/2023,Inventory,19,Balance Sheet
294,Remedy Place,0-6,158125.94,6/30/2023,Inventory,19,Balance Sheet
295,Remedy Place,0-7,158125.94,7/31/2023,Inventory,19,Balance Sheet
296,Remedy Place,0-8,158125.94,8/31/2023,Inventory,19,Balance Sheet
297,Remedy Place,0-9,158125.94,9/30/2023,Inventory,19,Balance Sheet
298,Remedy Place,0-10,157175.06,10/31/2023,Inventory,19,Balance Sheet
299,Remedy Place,0-11,157175.06,11/30/2023,Inventory,19,Balance Sheet
300,Remedy Place,0-12,157175.06,12/31/2023,Inventory,19,Balance Sheet
301,Remedy Place,0-13,157175.06,1/31/2024,Inventory,19,Balance Sheet
302,Remedy Place,0-14,157175.06,2/29/2024,Inventory,19,Balance Sheet
303,Remedy Place,0-15,158169.27,3/31/2024,Inventory,19,Balance Sheet
305,Remedy Place,0-1,0,1/31/2023,Medical Supplies,20,Balance Sheet
306,Remedy Place,0-2,0,2/28/2023,Medical Supplies,20,Balance Sheet
307,Remedy Place,0-3,0,3/31/2023,Medical Supplies,20,Balance Sheet
308,Remedy Place,0-4,0,4/30/2023,Medical Supplies,20,Balance Sheet
309,Remedy Place,0-5,0,5/31/2023,Medical Supplies,20,Balance Sheet
310,Remedy Place,0-6,0,6/30/2023,Medical Supplies,20,Balance Sheet
311,Remedy Place,0-7,0,7/31/2023,Medical Supplies,20,Balance Sheet
312,Remedy Place,0-8,0,8/31/2023,Medical Supplies,20,Balance Sheet
